COUNTY,2010,2011,2012,2013,2014,2015,2016,2017
FAIRFAX,43381,53662.0,47040.0,45695.0,38076.0,34683.0,72198.0,101016.0
RICHMOND,31724,13.0,222.0,35728.0,2772.0,312.0,5016.0,4428.0
VIRGINIA BEACH CITY,19981,180.0,174.0,18931.0,405.0,16.0,1169.0,992.0
NEWPORT NEWS CITY,19030,48.0,66.0,12474.0,444.0,14.0,1272.0,594.0
PRINCE WILLIAM,17061,17480.0,32145.0,24134.0,23568.0,23988.0,28546.0,41634.0
CHESTERFIELD,14641,19032.0,28238.0,21604.0,27708.0,21660.0,29910.0,34344.0
HENRICO,13848,13932.0,15984.0,14020.0,17868.0,18568.0,29792.0,41472.0
ROANOKE,12133,7824.0,7452.0,15350.0,4840.0,4334.0,8957.0,11730.0
LOUDOUN,9922,14940.0,11193.0,11986.0,11037.0,8330.0,9815.0,12840.0
CHESAPEAKE CITY,8810,36.0,,10650.0,440.0,,700.0,2398.0
NORFOLK CITY,8616,35.0,92.0,12300.0,1135.0,110.0,820.0,1446.0
SPOTSYLVANIA,8592,9576.0,11121.0,8525.0,7689.0,7810.0,11376.0,13504.0
MONTGOMERY,7601,8371.0,7920.0,8667.0,7641.0,9800.0,10080.0,17136.0
STAFFORD,6996,7656.0,8010.0,8556.0,7464.0,7315.0,11984.0,18260.0
PORTSMOUTH CITY,6728,12.0,28.0,6534.0,675.0,60.0,400.0,414.0
HAMPTON CITY,6200,23.0,36.0,7850.0,228.0,120.0,332.0,696.0
HANOVER,6120,6090.0,5320.0,7183.0,6677.0,4030.0,5093.0,9310.0
ARLINGTON,5490,6730.0,6304.0,8490.0,8590.0,10884.0,15249.0,16065.0
TAZEWELL,5090,5104.0,5863.0,8136.0,10632.0,9647.0,10032.0,8250.0
PULASKI,5030,5328.0,3920.0,6116.0,3784.0,2934.0,4310.0,4280.0
FAUQUIER,5016,4554.0,7704.0,5472.0,4848.0,4428.0,3552.0,3516.0
LYNCHBURG CITY,4518,,,6430.0,105.0,,434.0,141.0
WYTHE,4466,4950.0,7202.0,6556.0,6765.0,5499.0,5904.0,5720.0
SHENANDOAH,4428,5160.0,3817.0,4060.0,4050.0,4360.0,4697.0,5292.0
CULPEPER,4428,5280.0,5860.0,4230.0,4032.0,3456.0,4609.0,6538.0
WARREN,4270,5050.0,5070.0,5030.0,6017.0,4310.0,4862.0,5316.0
WISE,4112,5202.0,5776.0,8190.0,6426.0,5598.0,2196.0,4815.0
FREDERICK,4010,6413.0,4890.0,6260.0,6226.0,5110.0,5759.0,8704.0
PETERSBURG CITY,3792,,,5128.0,360.0,,28.0,48.0
ROCKINGHAM,3717,4140.0,6444.0,5168.0,6640.0,3808.0,5700.0,8463.0
WINCHESTER CITY,3321,12.0,120.0,4540.0,747.0,15.0,129.0,710.0
SCOTT,3177,4301.0,3051.0,1442.0,3388.0,2124.0,2952.0,2485.0
WASHINGTON,2889,5214.0,3185.0,2842.0,2514.0,2527.0,3752.0,4653.0
AMHERST,2877,1008.0,1842.0,2160.0,1496.0,1143.0,1688.0,3000.0
ALEXANDRIA CITY,2562,246.0,63.0,903.0,,78.0,808.0,448.0
FRANKLIN,2550,1696.0,2552.0,5599.0,5915.0,4114.0,5390.0,2261.0
SMYTH,2480,1351.0,2408.0,2176.0,1911.0,1659.0,7480.0,5296.0
AUGUSTA,2408,2268.0,2464.0,1722.0,4250.0,2380.0,4690.0,4710.0
DANVILLE CITY,2324,,,3480.0,,,126.0,360.0
HALIFAX,2216,1827.0,2576.0,2856.0,2032.0,1050.0,1099.0,2412.0
FREDERICKSBURG CITY,2106,,6.0,2090.0,188.0,,160.0,42.0
BRISTOL,1932,,67.0,1716.0,60.0,2.0,,294.0
GILES,1928,1520.0,1720.0,1512.0,1184.0,616.0,1539.0,792.0
RUSSELL,1890,2673.0,3024.0,2853.0,2422.0,1640.0,1890.0,2610.0
SUFFOLK CITY,1715,6.0,4.0,4818.0,93.0,4.0,270.0,104.0
COLONIAL HEIGHTS CITY,1710,,,1883.0,9.0,,40.0,200.0
ALBEMARLE,1692,478.0,688.0,880.0,2152.0,2220.0,2288.0,2497.0
SALEM,1640,,,1470.0,10.0,3.0,60.0,270.0
CHARLOTTESVILLE CITY,1584,,8.0,1960.0,195.0,,32.0,114.0
POWHATAN,1576,560.0,308.0,1053.0,1008.0,588.0,888.0,1683.0
CAMPBELL,1463,760.0,4272.0,1845.0,1700.0,261.0,1392.0,1800.0
JAMES CITY,1422,1505.0,1686.0,930.0,1351.0,820.0,931.0,4220.0
BEDFORD,1416,2970.0,3700.0,4000.0,3770.0,2900.0,1974.0,6504.0
BOTETOURT,1400,1592.0,1548.0,1379.0,2050.0,1134.0,1881.0,3047.0
LOUISA,1288,1305.0,1940.0,784.0,1146.0,1490.0,763.0,1200.0
ORANGE,1248,645.0,1782.0,1043.0,1730.0,2360.0,2288.0,2684.0
ALLEGHANY,1232,742.0,861.0,522.0,1760.0,2115.0,1593.0,2079.0
CARROLL,1162,1568.0,2538.0,1672.0,2480.0,3014.0,4344.0,2412.0
STAUNTON CITY,1116,,,1400.0,11.0,,44.0,10.0
BUCHANAN,1110,1127.0,1736.0,1645.0,1140.0,2142.0,2124.0,2968.0
PRINCE GEORGE,1086,1260.0,1449.0,1834.0,1442.0,448.0,545.0,1029.0
PAGE,1078,1939.0,2160.0,1785.0,1416.0,945.0,2070.0,2268.0
YORK,1075,1165.0,1960.0,1320.0,1568.0,973.0,1904.0,2280.0
RADFORD,1008,,,1696.0,7.0,,9.0,12.0
HENRY,984,960.0,2080.0,1092.0,1946.0,2313.0,2354.0,5152.0
BUCKINGHAM,952,1008.0,565.0,1232.0,834.0,412.0,654.0,1440.0
GLOUCESTER,931,828.0,1358.0,924.0,684.0,903.0,1215.0,1224.0
ROCKBRIDGE,930,665.0,2277.0,2368.0,2394.0,1771.0,2448.0,3393.0
PRINCE EDWARD,915,2124.0,1899.0,920.0,1386.0,490.0,1106.0,732.0
PITTSYLVANIA,910,1344.0,1395.0,1568.0,1533.0,1960.0,2530.0,2240.0
KING GEORGE,896,980.0,510.0,938.0,560.0,987.0,798.0,2497.0
FAIRFAX CITY,888,,86.0,492.0,11.0,17.0,456.0,924.0
HOPEWELL CITY,860,8.0,,1290.0,220.0,,40.0,38.0
MECKLENBURG,855,1304.0,3339.0,1442.0,1494.0,945.0,995.0,2233.0
LUNENBURG,770,425.0,356.0,148.0,606.0,342.0,132.0,220.0
ISLE OF WIGHT,676,548.0,2160.0,2232.0,985.0,1190.0,1020.0,1431.0
NEW KENT,630,658.0,720.0,485.0,776.0,426.0,342.0,316.0
DICKENSON,618,728.0,396.0,861.0,1032.0,875.0,670.0,2850.0
GRAYSON,618,380.0,246.0,678.0,522.0,525.0,1048.0,1600.0
AMELIA,564,276.0,156.0,1183.0,273.0,3.0,24.0,180.0
CAROLINE,552,2340.0,1680.0,1845.0,1560.0,1467.0,1530.0,2618.0
LEE,540,390.0,1302.0,960.0,1278.0,1281.0,1398.0,2696.0
WESTMORELAND,535,708.0,1144.0,672.0,1136.0,1056.0,795.0,1859.0
DINWIDDIE,524,440.0,273.0,468.0,618.0,360.0,256.0,402.0
GREENSVILLE,448,856.0,420.0,141.0,250.0,142.0,357.0,230.0
GREENE,408,620.0,976.0,320.0,141.0,660.0,606.0,616.0
BRUNSWICK,393,132.0,1099.0,528.0,528.0,276.0,945.0,282.0
PATRICK,392,786.0,1014.0,654.0,595.0,984.0,2208.0,1472.0
ESSEX,376,351.0,1050.0,369.0,306.0,188.0,342.0,232.0
WAYNESBORO CITY,372,,11.0,1638.0,,,,176.0
MARTINSVILLE CITY,368,13.0,,720.0,,5.0,84.0,155.0
RAPPAHANNOCK,357,280.0,396.0,322.0,60.0,36.0,18.0,81.0
CRAIG,345,105.0,54.0,100.0,165.0,51.0,4.0,39.0
MANASSAS CITY,342,339.0,35.0,98.0,,39.0,18.0,2.0
MADISON,340,123.0,215.0,144.0,392.0,210.0,315.0,175.0
ACCOMACK,336,1148.0,1064.0,244.0,1002.0,294.0,684.0,425.0
FALLS CHURCH CITY,325,,,92.0,,,,4.0
FLOYD,312,615.0,270.0,680.0,894.0,138.0,570.0,580.0
KING WILLIAM,288,155.0,180.0,52.0,136.0,63.0,170.0,355.0
SOUTHAMPTON,282,300.0,756.0,548.0,166.0,680.0,208.0,256.0
EMPORIA CITY,273,,,123.0,14.0,,,
CUMBERLAND,256,76.0,220.0,679.0,384.0,78.0,132.0,245.0
HARRISONBURG CITY,240,10.0,102.0,720.0,29.0,,174.0,62.0
SUSSEX,236,204.0,360.0,290.0,198.0,426.0,180.0,306.0
CHARLOTTE,225,99.0,332.0,635.0,234.0,497.0,250.0,240.0
FLUVANNA,200,310.0,175.0,156.0,424.0,336.0,936.0,355.0
GOOCHLAND,196,52.0,60.0,126.0,144.0,152.0,305.0,490.0
NOTTOWAY,178,224.0,360.0,416.0,297.0,896.0,340.0,210.0
BUENA VISTA CITY,176,,,693.0,24.0,,12.0,
POQUOSON CITY,165,,,340.0,,,,
BATH,160,244.0,112.0,90.0,63.0,78.0,28.0,111.0
MATHEWS,160,32.0,330.0,256.0,275.0,444.0,322.0,72.0
BLAND,150,50.0,228.0,125.0,85.0,162.0,160.0,44.0
CLARKE,140,235.0,112.0,235.0,588.0,342.0,230.0,315.0
FRANKLIN CITY,128,,,78.0,60.0,2.0,20.0,9.0
NORTHUMBERLAND,96,104.0,50.0,192.0,196.0,1071.0,1650.0,372.0
NELSON,94,292.0,122.0,208.0,91.0,190.0,966.0,4203.0
GALAX CITY,93,,,32.0,,,10.0,
MIDDLESEX,90,150.0,260.0,80.0,58.0,156.0,234.0,350.0
APPOMATTOX,78,132.0,256.0,245.0,480.0,96.0,693.0,1032.0
LANCASTER,48,102.0,132.0,164.0,96.0,35.0,310.0,360.0
WILLIAMSBURG CITY,41,,,510.0,50.0,,,10.0
LEXINGTON CITY,34,,,40.0,,,,
SURRY,13,14.0,32.0,24.0,20.0,,,34.0
BEDFORD CITY,8,,,2.0,,,,2.0
NORTON CITY,6,,,,,,,
HIGHLAND,3,,2.0,,12.0,,,
