COUNTY,2010,2011,2012,2013,2014,2015,2016,2017
JEFFERSON,81390,83342.0,76916.0,67392.0,58656.0,53704,61200.0,97335.0
FAYETTE,23604,20141.0,17040.0,23028.0,19068.0,21593,21200.0,42084.0
KENTON,12876,12144.0,14124.0,15200.0,16428.0,11240,15418.0,30256.0
CAMPBELL,8520,11165.0,9810.0,9756.0,9324.0,8600,13224.0,15011.0
PULASKI,6100,1626.0,2280.0,1386.0,2510.0,6060,4686.0,4032.0
WARREN,5580,3521.0,4710.0,3032.0,4520.0,3951,5712.0,4168.0
WHITLEY,5211,2200.0,3416.0,3987.0,2763.0,1449,1808.0,1491.0
BELL,4644,1224.0,2313.0,2331.0,7390.0,8085,7182.0,6534.0
HARDIN,4417,9492.0,5792.0,2565.0,7733.0,4784,4326.0,4795.0
LAUREL,4361,6192.0,2848.0,3128.0,4850.0,3003,3056.0,4950.0
PERRY,4193,6489.0,5526.0,2723.0,2896.0,2100,5800.0,4005.0
BOYD,4032,5607.0,3792.0,4704.0,5357.0,3933,2601.0,5590.0
HARLAN,3771,3472.0,7360.0,2664.0,3970.0,2550,3159.0,3717.0
BARREN,3447,4230.0,2051.0,2754.0,2421.0,2112,1734.0,2872.0
KNOX,3381,1686.0,2763.0,2360.0,2745.0,4330,1665.0,2682.0
MADISON,3255,2944.0,5328.0,7130.0,7062.0,7308,7821.0,10432.0
FRANKLIN,3010,3610.0,2625.0,3780.0,2496.0,3320,4080.0,3224.0
DAVIESS,2955,4116.0,3282.0,4752.0,8064.0,4912,6290.0,3750.0
CARTER,2832,2142.0,2328.0,1392.0,1568.0,1696,1330.0,1580.0
MCCRACKEN,2702,3096.0,3232.0,3760.0,3492.0,4040,3504.0,4302.0
BOONE,2691,2313.0,3240.0,3512.0,2408.0,4048,3312.0,7410.0
CHRISTIAN,2634,2202.0,905.0,2450.0,3184.0,2088,4290.0,1300.0
MASON,2574,945.0,1379.0,1044.0,1526.0,610,1098.0,1365.0
ROWAN,2401,2750.0,1428.0,1240.0,1460.0,1904,1040.0,1143.0
FLOYD,2142,1840.0,1184.0,1610.0,2710.0,2862,2691.0,3710.0
LETCHER,2044,1205.0,560.0,630.0,456.0,777,606.0,470.0
PIKE,1992,3510.0,3120.0,3402.0,4158.0,2478,3141.0,3186.0
BULLITT,1896,3470.0,2310.0,2282.0,3130.0,2360,2264.0,2912.0
JESSAMINE,1896,2046.0,2214.0,1428.0,2904.0,1505,1365.0,2070.0
HOPKINS,1743,3231.0,1960.0,2328.0,1780.0,3114,2202.0,5148.0
KNOTT,1704,364.0,906.0,590.0,435.0,64,1608.0,1017.0
GRAYSON,1542,990.0,798.0,400.0,1098.0,605,732.0,1256.0
TAYLOR,1414,742.0,888.0,650.0,672.0,1368,1560.0,1488.0
ROCKCASTLE,1386,2025.0,1472.0,791.0,2453.0,2673,1533.0,1560.0
MONTGOMERY,1380,2592.0,2646.0,2568.0,3290.0,1968,1809.0,4097.0
MUHLENBERG,1287,1302.0,1392.0,2648.0,2088.0,1533,1125.0,604.0
CLARK,1284,1285.0,1446.0,1152.0,2080.0,1224,1344.0,1712.0
CLAY,1248,1638.0,1140.0,1368.0,1463.0,1035,1350.0,180.0
JOHNSON,1215,1020.0,444.0,744.0,1080.0,1491,665.0,1020.0
WAYNE,1145,1038.0,600.0,87.0,540.0,726,1561.0,3652.0
JACKSON,1015,1188.0,540.0,330.0,546.0,315,485.0,776.0
BREATHITT,972,156.0,735.0,678.0,310.0,445,405.0,392.0
MCCREARY,952,345.0,366.0,763.0,756.0,396,345.0,448.0
GRANT,931,595.0,1120.0,702.0,1813.0,1674,1744.0,2010.0
MARION,931,546.0,660.0,355.0,744.0,1038,1712.0,2023.0
SCOTT,890,320.0,1584.0,1640.0,1491.0,336,1665.0,912.0
CASEY,888,798.0,828.0,672.0,416.0,1170,684.0,204.0
RUSSELL,854,222.0,310.0,192.0,132.0,264,300.0,828.0
OHIO,835,132.0,875.0,567.0,288.0,288,1544.0,540.0
BOURBON,805,399.0,240.0,738.0,332.0,320,780.0,480.0
BOYLE,800,515.0,720.0,894.0,1152.0,945,1434.0,2624.0
GREENUP,756,750.0,966.0,906.0,732.0,1064,744.0,651.0
POWELL,705,580.0,756.0,1442.0,1928.0,534,1336.0,1107.0
LESLIE,705,570.0,924.0,445.0,260.0,84,228.0,108.0
CARROLL,693,750.0,1337.0,825.0,1480.0,1040,1190.0,1638.0
PENDLETON,679,714.0,630.0,1296.0,388.0,312,90.0,255.0
ALLEN,672,690.0,1288.0,432.0,686.0,162,535.0,608.0
GRAVES,651,1188.0,1110.0,1582.0,2086.0,1770,2142.0,2448.0
OLDHAM,636,824.0,656.0,430.0,510.0,1043,696.0,1080.0
HARRISON,636,141.0,735.0,1224.0,1184.0,1344,1120.0,792.0
NELSON,592,1190.0,1616.0,1344.0,2232.0,1608,3231.0,4680.0
MERCER,516,840.0,390.0,180.0,1078.0,292,822.0,1280.0
ANDERSON,490,1088.0,390.0,200.0,132.0,190,360.0,129.0
LAWRENCE,460,117.0,72.0,525.0,200.0,528,288.0,497.0
MONROE,456,144.0,59.0,34.0,,38,96.0,756.0
LOGAN,444,942.0,560.0,800.0,1428.0,1032,1050.0,1146.0
HENDERSON,444,816.0,537.0,720.0,950.0,1834,2960.0,1785.0
BATH,405,712.0,560.0,328.0,232.0,882,264.0,560.0
GARRARD,385,260.0,112.0,96.0,210.0,51,240.0,390.0
SHELBY,372,381.0,344.0,428.0,1085.0,896,1926.0,1128.0
SIMPSON,372,920.0,736.0,972.0,658.0,413,987.0,576.0
ELLIOTT,364,212.0,210.0,38.0,188.0,100,22.0,128.0
MARTIN,360,189.0,123.0,225.0,126.0,2502,370.0,1134.0
NICHOLAS,360,196.0,108.0,470.0,238.0,336,456.0,148.0
FLEMING,352,264.0,735.0,120.0,75.0,408,138.0,390.0
WEBSTER,342,102.0,177.0,196.0,190.0,10,138.0,36.0
BUTLER,306,66.0,216.0,94.0,318.0,192,609.0,86.0
CLINTON,300,70.0,240.0,170.0,432.0,335,296.0,325.0
CALLOWAY,291,404.0,520.0,444.0,715.0,380,1350.0,1225.0
MORGAN,290,430.0,95.0,50.0,36.0,112,200.0,176.0
MAGOFFIN,285,574.0,123.0,660.0,273.0,516,117.0,440.0
WOODFORD,273,320.0,900.0,420.0,522.0,324,630.0,1035.0
MCLEAN,260,80.0,,69.0,138.0,129,94.0,64.0
ESTILL,255,93.0,300.0,30.0,594.0,54,516.0,605.0
LEWIS,236,212.0,156.0,240.0,516.0,380,138.0,972.0
METCALFE,234,62.0,132.0,38.0,68.0,58,28.0,
BRECKINRIDGE,234,122.0,188.0,158.0,190.0,26,159.0,240.0
CALDWELL,234,232.0,333.0,94.0,402.0,291,425.0,456.0
MARSHALL,228,300.0,500.0,312.0,584.0,142,232.0,819.0
LARUE,222,102.0,46.0,,142.0,27,96.0,100.0
FULTON,222,243.0,445.0,78.0,112.0,147,292.0,600.0
WASHINGTON,210,168.0,19.0,20.0,37.0,47,56.0,88.0
LINCOLN,192,858.0,305.0,208.0,476.0,315,240.0,204.0
GREEN,177,87.0,140.0,90.0,66.0,37,13.0,235.0
ADAIR,176,540.0,1305.0,292.0,321.0,660,460.0,680.0
OWEN,175,84.0,183.0,184.0,255.0,96,216.0,220.0
LYON,168,21.0,112.0,248.0,520.0,770,573.0,620.0
LEE,159,852.0,592.0,444.0,124.0,330,270.0,205.0
EDMONSON,156,430.0,162.0,160.0,102.0,165,200.0,236.0
MEADE,153,450.0,2730.0,1416.0,1448.0,575,435.0,424.0
HART,152,624.0,472.0,219.0,368.0,210,280.0,201.0
MENIFEE,145,136.0,51.0,48.0,8.0,12,,18.0
OWSLEY,124,432.0,87.0,26.0,34.0,54,12.0,15.0
GALLATIN,120,144.0,420.0,228.0,370.0,189,34.0,105.0
SPENCER,120,310.0,235.0,105.0,29.0,93,87.0,82.0
WOLFE,111,264.0,240.0,204.0,140.0,966,90.0,245.0
LIVINGSTON,104,17.0,62.0,220.0,184.0,70,260.0,68.0
TRIGG,102,,63.0,140.0,192.0,150,96.0,63.0
CRITTENDEN,102,111.0,66.0,120.0,87.0,120,66.0,
TODD,94,180.0,27.0,152.0,32.0,147,66.0,
BRACKEN,84,175.0,348.0,110.0,120.0,57,220.0,
CARLISLE,78,,13.0,,11.0,12,,
HENRY,57,33.0,581.0,220.0,312.0,602,624.0,505.0
TRIMBLE,44,18.0,171.0,480.0,525.0,255,188.0,87.0
ROBERTSON,38,38.0,57.0,6.0,12.0,34,5.0,
CUMBERLAND,34,116.0,20.0,55.0,195.0,222,448.0,176.0
BALLARD,24,17.0,11.0,11.0,,25,16.0,25.0
