COUNTY,2010,2011,2012,2013,2014,2015,2016,2017
HAMILTON,179140,140881,125436,132756,146496.0,201684,312768,507702
MONTGOMERY,101374,96492,88011,113232,114128.0,125385,166573,206616
CUYAHOGA,42672,41294,231413,197316,218556.0,215068,384318,663990
STARK,38883,31284,5013,1664,52351.0,40370,70485,93720
FRANKLIN,35052,77042,61006,115661,102047.0,124726,191880,231700
LAKE,32712,36648,40416,31896,40992.0,64363,105282,156390
MAHONING,27708,25668,19500,22088,25795.0,27852,28002,30220
LUCAS,21945,19790,22350,20150,14707.0,26767,26325,33516
LICKING,21307,23569,20540,11224,13194.0,16920,14180,23240
DELAWARE,19514,12220,6250,5488,10350.0,11242,9763,12882
SUMMIT,17940,16464,13350,17083,15829.0,21720,31888,81972
BUTLER,16425,20339,24636,31834,31572.0,36316,40590,72726
PORTAGE,12630,13090,11744,22572,23309.0,20490,24240,20162
TRUMBULL,11590,11132,11682,11979,20028.0,20658,22515,26964
ROSS,10428,6176,3696,4912,6010.0,7139,5995,9120
GREENE,9640,7560,6768,9999,8872.0,12456,19845,14926
FAIRFIELD,9306,12040,15380,17150,14597.0,15610,16822,15450
WARREN,8420,10570,12529,16692,12640.0,13560,22530,26312
CLERMONT,8272,8900,8701,7227,10380.0,11572,14496,27208
SCIOTO,8050,7434,7104,5404,7777.0,8808,10036,9105
JACKSON,6952,4464,4330,3654,5240.0,7410,8988,8310
ASHLAND,6894,5952,5286,8720,10200.0,9824,15626,16830
RICHLAND,6787,3479,3664,4800,7820.0,8860,10164,11682
MEDINA,6696,6696,8050,7990,8280.0,11550,10740,17241
ERIE,6072,7579,7506,10290,13290.0,11990,19005,19440
ATHENS,5976,6723,6372,7398,7040.0,5760,6980,9786
DEFIANCE,5890,3448,3283,6552,6696.0,10500,7896,8550
ALLEN,5800,6545,6462,7500,10230.0,8350,8544,6146
ADAMS,5797,3140,3038,1705,3272.0,2492,2920,2412
HIGHLAND,5270,2560,4941,3668,4923.0,3800,3790,2268
WOOD,5192,7230,6372,6176,6744.0,10452,9105,4745
HANCOCK,4584,4437,5660,6140,7668.0,12727,13174,14382
ASHTABULA,4568,6720,8624,9594,13937.0,14190,19200,14704
WAYNE,4490,7368,5120,5144,4992.0,6570,11011,13566
MIAMI,4122,2505,5379,4208,6650.0,6960,11872,15485
TUSCARAWAS,3900,2496,1350,1956,4221.0,4770,4378,6342
GALLIA,3744,2871,1449,2574,2992.0,4635,6708,8517
PICKAWAY,3704,3816,5229,4878,5688.0,4873,1140,2150
CLINTON,3640,2880,3017,3249,4428.0,5940,7046,10251
MADISON,3576,3753,4128,2424,4104.0,4077,5616,4103
WASHINGTON,3294,2817,2584,2984,3528.0,4014,5220,7306
SHELBY,3064,3312,1854,2660,2744.0,3128,4060,3300
HARDIN,2934,3122,3336,2583,1182.0,2655,1488,2292
MARION,2763,2331,2655,4354,6075.0,7250,11145,7532
GUERNSEY,2528,2600,3990,3664,6020.0,9204,7744,12210
COLUMBIANA,2387,2555,3528,5856,11990.0,11726,18410,12690
BROWN,2130,1704,2304,1820,2565.0,5030,3400,4270
JEFFERSON,2112,2592,1876,2338,1974.0,2904,1876,2360
LOGAN,1911,1988,790,644,1281.0,1568,3096,4303
SENECA,1800,2336,1407,2424,2870.0,4260,3971,2886
HURON,1680,1862,3015,4850,4473.0,6460,7140,4995
BELMONT,1617,3825,2952,5176,5312.0,6413,4906,7545
CRAWFORD,1526,1218,2472,3296,5562.0,5830,5150,3960
PIKE,1506,1359,360,959,816.0,980,912,1017
MORROW,1386,1728,2799,1932,2262.0,2655,1300,2450
MUSKINGUM,1350,2142,1380,2156,4725.0,4158,7761,7404
CHAMPAIGN,1284,595,588,1075,995.0,4820,2750,2544
PERRY,1266,2072,1449,1323,1290.0,2456,1596,992
UNION,1197,1710,3630,972,1456.0,1582,2080,3388
VAN WERT,1192,1472,1372,545,1880.0,942,1364,2044
LORAIN,1160,1984,1560,1456,5064.0,26220,42592,40824
OTTAWA,1155,1464,3960,1590,1002.0,1336,1309,1476
SANDUSKY,1106,822,2800,2010,4248.0,7046,11835,6468
AUGLAIZE,1104,1197,1500,1728,1110.0,1888,2008,3211
DARKE,1092,1218,858,1200,1620.0,1572,1296,2700
HOLMES,903,637,1002,528,164.0,360,296,350
PREBLE,784,140,1085,1212,720.0,655,2882,3487
CLARK,744,342,660,1770,1988.0,5472,13725,25388
MERCER,644,1320,705,795,900.0,1314,833,1044
LAWRENCE,624,564,2086,1225,2254.0,2688,2970,5629
MEIGS,612,1008,1146,1134,320.0,360,656,200
GEAUGA,570,410,604,816,2597.0,2835,2024,2884
MORGAN,535,287,100,43,46.0,252,32,336
FAYETTE,380,468,480,426,1911.0,2050,2871,2520
VINTON,312,284,564,770,576.0,1120,1092,190
COSHOCTON,300,210,602,654,404.0,995,1224,1165
HOCKING,264,288,300,735,938.0,868,2416,3588
FULTON,260,708,1701,896,798.0,2230,1152,1274
CARROLL,228,588,438,390,249.0,98,280,497
KNOX,186,366,959,1404,370.0,528,1701,2367
HENRY,100,585,575,248,37.0,245,108,7
PAULDING,84,60,99,219,276.0,1266,396,282
PUTNAM,76,20,46,22,,124,172,63
WYANDOT,63,64,18,140,872.0,1032,882,2068
NOBLE,5,195,7,40,78.0,192,148,124
WILLIAMS,4,36,60,270,38.0,32,156,27
MONROE,4,60,108,240,822.0,736,434,1390
