COUNTY,2010,2011,2012,2013,2014,2015,2016,2017
KANAWHA,11520,19690.0,12555.0,9117.0,11077.0,5751.0,8340.0,15495.0
BERKELEY,5776,7704.0,6543.0,2856.0,1500.0,2556.0,2709.0,1640.0
MERCER,4696,5103.0,4068.0,3703.0,2205.0,3564.0,3232.0,1080.0
RALEIGH,3458,4545.0,4382.0,4088.0,5173.0,3073.0,5460.0,1320.0
OHIO,2739,1848.0,1960.0,3450.0,1165.0,868.0,440.0,343.0
CABELL,2585,5628.0,4064.0,4184.0,2450.0,815.0,1356.0,1431.0
MARION,2436,3128.0,3801.0,3192.0,888.0,1165.0,1025.0,245.0
LOGAN,1842,1740.0,2422.0,2904.0,2880.0,1561.0,2184.0,1314.0
UPSHUR,1771,1680.0,1146.0,918.0,240.0,67.0,183.0,44.0
WOOD,1722,2286.0,2245.0,2877.0,1746.0,3010.0,4347.0,5220.0
HARRISON,1372,740.0,5328.0,4606.0,2268.0,2114.0,3346.0,1608.0
GREENBRIER,1270,515.0,468.0,762.0,1526.0,1659.0,1096.0,246.0
NICHOLAS,1194,1071.0,2592.0,2968.0,2920.0,2520.0,2352.0,2340.0
HANCOCK,912,485.0,216.0,875.0,282.0,168.0,470.0,624.0
BRAXTON,835,498.0,588.0,516.0,434.0,136.0,624.0,237.0
MONONGALIA,674,210.0,345.0,520.0,556.0,10.0,20.0,
MARSHALL,630,637.0,1064.0,1160.0,1008.0,270.0,560.0,140.0
GRANT,570,20.0,318.0,408.0,861.0,108.0,32.0,
PUTNAM,564,476.0,910.0,708.0,530.0,150.0,75.0,15.0
MINGO,540,90.0,468.0,1134.0,78.0,90.0,13.0,8.0
MCDOWELL,495,316.0,228.0,415.0,315.0,588.0,497.0,
JACKSON,464,591.0,455.0,114.0,700.0,276.0,456.0,255.0
HARDY,456,966.0,1164.0,602.0,432.0,480.0,78.0,
BOONE,450,536.0,128.0,84.0,84.0,184.0,40.0,44.0
MINERAL,416,735.0,411.0,44.0,132.0,57.0,130.0,330.0
FAYETTE,405,500.0,285.0,763.0,43.0,90.0,92.0,10.0
JEFFERSON,399,206.0,630.0,30.0,177.0,58.0,546.0,104.0
MASON,376,180.0,106.0,255.0,38.0,180.0,48.0,
POCAHONTAS,205,378.0,420.0,408.0,116.0,177.0,105.0,90.0
MORGAN,200,384.0,1176.0,141.0,648.0,40.0,190.0,168.0
MONROE,186,57.0,20.0,36.0,38.0,,40.0,11.0
SUMMERS,118,175.0,28.0,630.0,4.0,18.0,4.0,
WAYNE,115,112.0,75.0,375.0,232.0,150.0,196.0,315.0
TYLER,114,96.0,,,50.0,12.0,22.0,
RITCHIE,108,47.0,198.0,33.0,37.0,,8.0,
PRESTON,104,600.0,330.0,308.0,,117.0,,
WETZEL,72,144.0,95.0,19.0,460.0,280.0,14.0,12.0
ROANE,63,112.0,450.0,,240.0,126.0,20.0,2.0
CLAY,50,234.0,118.0,93.0,76.0,16.0,,
RANDOLPH,36,158.0,552.0,552.0,396.0,,702.0,260.0
BARBOUR,32,16.0,3.0,22.0,13.0,,4.0,17.0
DODDRIDGE,32,41.0,175.0,134.0,84.0,54.0,31.0,38.0
WYOMING,30,78.0,70.0,76.0,18.0,,2.0,5.0
CALHOUN,24,,186.0,,16.0,,18.0,10.0
WIRT,12,,,,,,4.0,
BROOKE,9,16.0,56.0,27.0,,3.0,,
TUCKER,1,,,,18.0,,,8.0
